"","0"
"1",2120.17370580948
"2",2188.07066858187
"3",2994.88004087881
"4",2640.9414760203
"5",3573.7623901812
"6",2291.5625797416
"7",3079.33362854414
"8",2288.33441893988
"9",7817.21775851741
"10",7859.71257299624
"11",8501.66084672219
"12",9190.04151477912
"13",8670.09645946121
"14",9267.48096121115
"15",9912.82354957331
"16",10106.7050368296
"17",18669.2416788438
"18",19337.9819076871
"19",19962.7605924043
"20",19789.6689041223
"21",20343.0374225904
"22",14697.8354309264
"23",15592.7610176459
"24",3607.21176165622
"25",4142.87564173949
"26",5163.31762569391
"27",5102.95766000001
"28",14691.7321629202
"29",15109.4128440647
"30",15025.6048089182
"31",15879.6063990635
"32",8691.25540213616
"33",10066.3434273397
"34",10799.8026920922
"35",11493.5632081136
"36",19279.6513759297
"37",20272.9888294704
"38",19229.2197099618
"39",20217.8308120303
"40",21260.8803759738
"41",22230.12366
"42",21041.3673829133
"43",21927.6162392121
"44",2735.57826651764
"45",4347.08946024778
"46",3405.16478881023
"47",4135.75584578324
"48",4923.26820510433
"49",3294.95532018475
"50",4156.22692017239
"51",4917.30421464227
"52",5548.87282249216
"53",2785.62892817033
"54",3652.23356454425
"55",4574.66630087627
"56",5495.54583713407
"57",4175.37425737703
"58",5041.3678116619
"59",5909.45996770568
"60",8842.43644747356
"61",9565.05675814078
"62",9567.16582916062
"63",10241.6333050227
"64",10917.7417739765
"65",10952.4619465041
"66",11669.8592816391
"67",25460.2322353036
"68",26368.9819907358
"69",25997.8240582522
"70",26847.6787876523
"71",27737.4206387388
"72",27371.069742019
"73",28221.2009007717
"74",29088.6609198679
"75",27059.7485802095
"76",27893.874525276
"77",29598.2955908571
"78",27621.0468268329
"79",28452.507263107
"80",29290.4523458689
"81",30126.1984954833
"82",29045.346370996
"83",29861.4279798053
"84",30697.9084813103
"85",28834.0899788344
"86",29697.5164648577
"87",30415.7165934065
"88",31306.5679121416
"89",31018.6649772915
"90",31818.3690709762
"91",32623.8343879945
"92",31638.9315995856
"93",32430.967974112
"94",33230.7331424081
"95",3112.6280074353
"96",3858.24092909739
"97",12624.6100008964
"98",13411.332151885
"99",14023.1530329476
"100",14239.2229094637
"101",14820.2396090187
"102",15775.3038747926
"103",2431.88017020188
"104",2616.17249449808
"105",3050.7127067381
"106",3531.69498456499
"107",3411.18589042717
"108",3573.47444550983
"109",3929.08718960822
"110",4510.96078861837
"111",4423.46640245741
"112",4507.0026547934
"113",4744.30258614114
"114",5762.29208865268
"115",15357.8291516397
"116",16071.4779396635
"117",16980.6337866255
"118",17859.1187654445
"119",19686.3268753988
"120",13002.8584616684
"121",13946.8120598692
"122",14766.9168223464
"123",15672.4477276252
"124",16613.9734854978
"125",17496.2012093334
"126",18278.1119033325
"127",10724.1249824633
"128",11647.7429189411
"129",12484.8163379907
"130",13452.1775791765
"131",14325.6094588438
"132",16201.0729326111
"133",17058.2785278179
"134",9463.42580442089
"135",10358.6964469202
"136",11201.6266202756
"137",12117.6244638591
"138",14011.6236877516
"139",15937.1243799381
"140",8974.31560096362
"141",9905.49329000598
"142",10836.0921213923
"143",12733.154079403
"144",13665.3457589957
"145",15757.7571192745
"146",10499.8239932334
"147",1927.49395163928
"148",2925.34429769059
"149",28766.7685701108
"150",9601.29571464194
"151",13081.7241371575
"152",15289.6565588184
"153",14974.5488807535
"154",18699.4108015169
"155",8619.80096728688
